ID,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Channel,Views,Likes,Comments,official_video,Stream
15442,Sid Sriram,"Kanja Poovu Kannala (From ""Viruman"")","Kanja Poovu Kannala (From ""Viruman"")",single,0.720,0.692,8,-6.354,0.089,0.291,0.000,0.177,0.520,110.011,237559,Sony Music South,38525579,259150,3072,TRUE,35093727
15443,Sid Sriram,Ennodu Nee Irundhaal,I (Original Motion Picture Soundtrack),album,0.261,0.603,0,-6.733,0.037,0.558,0.000,0.184,0.207,158.125,352711,Sid Sriram,534559,29411,2121,TRUE,37409758
15445,Sid Sriram,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")","Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",single,0.556,0.521,6,-10.811,0.032,0.632,0.001,0.102,0.355,127.956,332702,SonyMusicSouthVEVO,86052868,985654,15247,TRUE,49525414
15446,Sid Sriram,"Kalaavathi (From ""Sarkaru Vaari Paata"")","Kalaavathi (From ""Sarkaru Vaari Paata"") - Single",single,0.392,0.574,5,-5.744,0.034,0.627,0.000,0.532,0.446,65.528,242322,Saregama Telugu,70564772,411636,6649,TRUE,38063341
15447,Sid Sriram,Kalalo Kooda,Liger (Telugu) [Original Motion Picture Soundtrack],compilation,0.724,0.596,5,-6.580,0.029,0.651,0.000,0.069,0.605,108.011,246806,Sony Music South,7550886,105541,1163,TRUE,5493570
15448,TV Girl,Lovers Rock,French Exit,album,0.559,0.871,5,-5.338,0.040,0.000,0.005,0.096,0.572,104.970,213920,i'm cyborg but that's ok,1439897,55985,1325,FALSE,284376259
15449,TV Girl,Not Allowed,Who Really Cares,album,0.670,0.905,1,-6.855,0.129,0.669,0.000,0.349,0.563,104.965,167864,bluehead,51387,1980,95,FALSE,288381248
15450,TV Girl,Cigarettes out the Window,Who Really Cares,album,0.625,0.659,0,-5.669,0.034,0.120,0.000,0.170,0.594,113.551,198961,Antoni Tolwinski,9588,316,20,FALSE,148314997
15451,TV Girl,Birds Dont Sing,French Exit,album,0.605,0.942,7,-4.549,0.066,0.016,0.000,0.137,0.800,106.562,209347,TV Girl,176874,5368,148,TRUE,56449797
15452,TV Girl,Louise,French Exit,album,0.727,0.919,0,-4.562,0.029,0.165,0.011,0.306,0.920,115.816,194453,radio translates,26269,581,15,FALSE,20401263
15453,TV Girl,It Almost Worked,The Night in Question: French Exit Outtakes,album,0.673,0.886,9,-4.347,0.028,0.302,0.348,0.079,0.679,140.586,152000,David Dean Burkhart,55772,1804,60,FALSE,8135341
15454,TV Girl,The Blonde,French Exit,album,0.501,0.547,1,-7.961,0.024,0.225,0.912,0.288,0.225,87.692,227760,Emma's Edits,851,24,6,FALSE,19364063
15455,TV Girl,Hate Yourself,French Exit,album,0.643,0.891,9,-4.404,0.032,0.642,0.085,0.119,0.886,95.813,213760,BunnyLyrics,83208,1829,65,FALSE,22723621
15456,TV Girl,Loving Machine,Who Really Cares,album,0.580,0.690,0,-9.520,0.027,0.568,0.022,0.226,0.922,89.981,227000,chillwavve,86056,2249,71,FALSE,9938662
15457,TV Girl,Better in the Dark,Summer's Over,album,0.678,0.640,9,-7.486,0.027,0.283,0.001,0.682,0.701,90.058,155500,David Dean Burkhart,32631,1455,68,FALSE,7318059
15458,Darell,Instagram - Remix,Siempre Blessd,album,0.787,0.677,11,-2.825,0.228,0.199,0.000,0.058,0.966,179.951,243623,BLESSD EL BENDITO 💙,19165408,218959,23746,FALSE,21781608
15459,Darell,Otro Trago,Sueños,album,0.746,0.700,0,-4.669,0.341,0.136,0.000,0.110,0.619,176.044,225933,Sech,657079989,5070860,94502,TRUE,633554007
15460,Darell,Asesina,Asesina,single,0.846,0.659,10,-5.277,0.259,0.643,0.000,0.119,0.497,94.195,187312,BrytiagoTV,539838191,2617948,16860,TRUE,289710781
15461,Darell,Velitas,Velitas,single,0.819,0.596,2,-7.009,0.318,0.225,0.000,0.138,0.622,165.951,225542,DarellVEVO,280392736,1473683,12428,TRUE,206846263
15462,Darell,4K,4K,single,0.925,0.900,3,-4.361,0.143,0.355,0.006,0.124,0.804,120.031,201500,ElAlfaElJefeTV,173107787,1459895,38447,TRUE,141499375
15463,Darell,Te Boté,Te Boté (Clean Version),single,0.918,0.602,4,-3.986,0.115,0.401,0.000,0.081,0.158,96.518,275693,Flow La Movie,2354418112,10169573,478456,TRUE,96075345
15464,Darell,Caliente,Caliente,single,0.894,0.796,11,-3.119,0.081,0.156,0.000,0.118,0.408,99.993,240307,DarellVEVO,87899277,687083,8800,TRUE,78037494
15465,Darell,Ojala,La Oscuridad,album,0.640,0.529,0,-6.785,0.089,0.372,0.000,0.078,0.177,128.101,304733,EL RANKI,8919,144,0,FALSE,56049759
15466,Darell,B11 (feat. Myke Towers),B11 (feat. Myke Towers),single,0.759,0.717,0,-5.014,0.115,0.067,0.000,0.131,0.195,99.946,251929,Rvssian,64343490,384617,3362,TRUE,140710301
15467,Darell,Ta To Gucci (Remix),Cauty VS Young Cauty,single,0.730,0.648,1,-6.405,0.378,0.383,0.000,0.103,0.675,187.991,304859,CautyTV,208414417,956360,11444,FALSE,168240166
15468,Takeoff,HOTEL LOBBY (Unc & Phew),Only Built For Infinity Links,album,0.825,0.649,11,-4.297,0.169,0.117,0.000,0.232,0.143,127.978,142657,COLORS,39248844,527468,10228,TRUE,154476023
15469,Takeoff,To The Bone (feat. YoungBoy Never Broke Again),Only Built For Infinity Links,album,0.899,0.582,11,-7.275,0.264,0.040,0.000,0.100,0.505,149.973,283196,RAPTRAX,2539314,37695,642,FALSE,36808984
15470,Takeoff,HOTEL LOBBY (Unc & Phew) - A COLORS SHOW,HOTEL LOBBY (Unc & Phew) - A COLORS SHOW,single,0.859,0.548,10,-6.590,0.197,0.041,0.000,0.204,0.112,127.958,165581,COLORS,39248844,527468,10228,TRUE,15785152
15471,Takeoff,Casper,The Last Rocket,album,0.921,0.607,1,-7.397,0.209,0.525,0.000,0.123,0.753,140.071,197079,MigosVEVO,39996316,570190,18900,TRUE,173427832
15472,Takeoff,Chocolate (feat. Young Thug and Gunna),Only Built For Infinity Links,album,0.854,0.611,1,-6.824,0.228,0.200,0.000,0.190,0.728,129.003,208372,RAPTRAX,64494,1436,41,FALSE,16144126
15473,Takeoff,Nothing Changed,Only Built For Infinity Links,album,0.876,0.551,5,-6.872,0.099,0.233,0.000,0.185,0.685,134.946,199111,Quavo Huncho,17265622,254272,8751,FALSE,28233700
15474,Takeoff,Last Memory,The Last Rocket,album,0.854,0.708,1,-5.805,0.244,0.175,0.000,0.241,0.172,118.032,162133,MigosVEVO,66682302,812270,37636,TRUE,96634492
15475,Takeoff,Messy,Only Built For Infinity Links,album,0.832,0.574,11,-7.232,0.341,0.074,0.000,0.109,0.464,152.919,177395,Quavo Huncho,30540785,592296,51045,FALSE,11616600
15476,Takeoff,See Bout It (feat. Mustard),Only Built For Infinity Links,album,0.545,0.680,6,-5.112,0.293,0.127,0.000,0.327,0.422,101.040,180594,Quavo Huncho,119692,2204,89,FALSE,6963286
15477,Takeoff,Us vs. Them (feat Gucci Mane),Only Built For Infinity Links,album,0.729,0.482,1,-8.152,0.081,0.002,0.000,0.161,0.292,150.004,216000,QuavoVEVO,9658091,192097,6454,TRUE,22372684
15478,Troye Sivan,Strawberries & Cigarettes,Strawberries & Cigarettes,single,0.578,0.537,9,-8.676,0.083,0.162,0.000,0.076,0.250,83.909,201539,Troye Sivan - Topic,74822101,652947,2252,TRUE,487711121
15479,Troye Sivan,Angel Baby,Angel Baby,single,0.559,0.559,11,-6.425,0.036,0.015,0.000,0.138,0.338,72.498,220780,TroyeSivanVEVO,14120385,419705,15310,TRUE,329232253
15480,Troye Sivan,i'm so tired...,~how i'm feeling~,album,0.548,0.735,11,-7.572,0.236,0.173,0.000,0.195,0.498,101.252,162587,Lauv,19749885,425337,8902,TRUE,790751685
15481,Troye Sivan,You,You,single,0.691,0.695,0,-5.600,0.037,0.059,0.000,0.065,0.514,106.064,233386,RegardVEVO,18418625,274220,5252,TRUE,249471068
15482,Troye Sivan,YOUTH,Blue Neighbourhood (Deluxe),album,0.628,0.737,7,-4.437,0.041,0.063,0.000,0.078,0.592,91.507,185194,TroyeSivanVEVO,180775404,2482589,95792,TRUE,552590116
15483,Troye Sivan,You Know What I Need,You Know What I Need,single,0.768,0.896,6,-3.501,0.097,0.015,0.000,0.041,0.829,109.959,170000,PNAUVEVO,1042952,21191,623,TRUE,9247209
15484,Troye Sivan,There for You,There for You,single,0.611,0.644,6,-7.607,0.055,0.124,0.000,0.124,0.130,105.969,221904,Martin Garrix,352296212,3096279,65858,TRUE,571078074
15485,Troye Sivan,Dance To This (feat. Ariana Grande),Bloom,album,0.736,0.756,11,-7.099,0.047,0.006,0.006,0.106,0.712,117.016,231847,TroyeSivanVEVO,205497670,2249662,64348,TRUE,256665850
15486,Troye Sivan,My My My!,Bloom,album,0.701,0.458,1,-7.749,0.084,0.004,0.000,0.045,0.482,102.967,204727,TroyeSivanVEVO,62091579,1018187,49395,TRUE,272398259
15487,Troye Sivan,Easy (with Kacey Musgraves feat. Mark Ronson),Easy (with Kacey Musgraves feat. Mark Ronson),single,0.581,0.674,8,-7.090,0.033,0.002,0.000,0.128,0.488,143.005,213572,TroyeSivanVEVO,9324656,217550,6728,TRUE,82820643
15488,Tulus,Hati-Hati di Jalan,Manusia,album,0.643,0.436,6,-11.322,0.036,0.702,0.089,0.115,0.755,71.969,242000,Tulus,34360662,443507,13532,TRUE,168838890
15489,Tulus,Monokrom,Monokrom,album,0.534,0.462,6,-9.383,0.033,0.573,0.000,0.097,0.519,88.046,214567,Tulus,82362244,519801,49837,TRUE,144302402
15490,Tulus,Interaksi,Manusia,album,0.464,0.344,9,-8.302,0.033,0.778,0.000,0.132,0.751,177.713,170000,Tulus,31425658,180184,2043,TRUE,63782772
15491,Tulus,Langit Abu-Abu,Monokrom,album,0.485,0.133,2,-10.700,0.058,0.910,0.000,0.106,0.366,100.593,202951,Tulus,5107384,119707,5575,TRUE,91563344
15492,Tulus,Diri,Manusia,album,0.576,0.289,5,-9.389,0.026,0.838,0.000,0.085,0.485,96.103,240000,Tulus,27098107,283927,7227,TRUE,71370123
15493,Tulus,Sewindu,Tulus,album,0.619,0.494,7,-9.626,0.035,0.841,0.000,0.126,0.478,91.984,240493,Tulus,26541892,113945,5124,TRUE,63625101
15494,Tulus,Pamit,Monokrom,album,0.303,0.300,4,-10.157,0.030,0.843,0.000,0.097,0.336,77.875,232516,Tulus,71473618,389636,31194,TRUE,75361497
15495,Tulus,Labirin,Labirin,single,0.699,0.486,9,-6.869,0.037,0.780,0.000,0.105,0.673,96.062,182656,Tulus,13893139,132343,4234,TRUE,64471610
15496,Tulus,1000 Tahun Lamanya,Pongki Barata Meets The Stars,compilation,0.707,0.475,5,-8.259,0.045,0.618,0.000,0.137,0.764,85.993,232227,Izd Jaafar,42602964,109094,4137,FALSE,52198908
15497,Tulus,Sepatu,Gajah,album,0.598,0.450,9,-8.257,0.030,0.694,0.000,0.099,0.346,114.993,219284,Tulus,28040950,130420,3822,TRUE,40627194
15498,AJR,World's Smallest Violin,OK ORCHESTRA,album,0.680,0.696,5,-6.977,0.051,0.116,0.000,0.607,0.684,115.962,180743,AJR,123292016,2788333,71388,TRUE,200500645
15499,AJR,Bang!,OK ORCHESTRA,album,0.740,0.517,1,-6.233,0.051,0.018,0.000,0.056,0.698,139.917,170858,AJR,66310139,911981,31832,TRUE,332148266
15500,AJR,The DJ Is Crying For Help,The DJ Is Crying For Help,single,0.544,0.652,11,-6.938,0.053,0.346,0.000,0.114,0.519,145.039,220571,AJR,2528212,87028,4794,TRUE,9910649
15502,AJR,I Won't,I Won't,single,0.423,0.721,0,-8.070,0.165,0.008,0.000,0.380,0.382,161.926,168553,AJRVEVO,5359706,133762,7565,FALSE,18742529
15503,AJR,Weak,The Click,album,0.670,0.643,5,-4.553,0.047,0.118,0.000,0.192,0.703,123.979,201159,AJR,79467829,1165701,45487,TRUE,628232520
15504,AJR,Way Less Sad,OK ORCHESTRA,album,0.701,0.547,2,-8.238,0.048,0.008,0.000,0.099,0.400,140.015,206108,AJR,24597533,346979,14778,TRUE,109150426
15505,AJR,Record Player,All You Need Is Time (Deluxe Edition),album,0.665,0.686,11,-7.049,0.104,0.247,0.000,0.062,0.927,73.987,149538,Daisy the Great,2409362,42544,988,FALSE,46523912
15506,AJR,The Good Part,The Click,album,0.491,0.480,2,-3.568,0.029,0.087,0.000,0.382,0.552,92.919,227267,AJR,6316931,173888,5381,TRUE,101068238
15507,AJR,100 Bad Days,Neotheater,album,0.626,0.639,10,-5.620,0.085,0.047,0.000,0.161,0.638,144.009,212783,AJR,26481445,423059,15668,TRUE,199671795
15508,Bastille,Happier,Happier,single,0.687,0.792,5,-2.749,0.045,0.191,0.000,0.167,0.671,100.015,214290,Marshmello,1048917172,14014583,740604,TRUE,1798354650
15509,Bastille,Pompeii,Bad Blood,album,0.679,0.715,9,-6.383,0.041,0.076,0.000,0.271,0.571,127.435,214148,BastilleVEVO,711949767,5178283,217631,TRUE,1229480697
15510,Bastille,Good Grief,Wild World (Complete Edition),album,0.730,0.758,1,-4.888,0.065,0.147,0.000,0.311,0.877,120.041,206493,BastilleVEVO,9810308,74052,1428,TRUE,269955637
15511,Bastille,Run Into Trouble,Run Into Trouble,single,0.621,0.885,6,-4.593,0.042,0.265,0.000,0.072,0.411,117.021,182564,Alok,3394312,42228,855,TRUE,22888543
15512,Bastille,Of The Night,All This Bad Blood,album,0.670,0.829,5,-7.200,0.043,0.019,0.000,0.089,0.349,125.010,214206,BastilleVEVO,53887945,400342,12947,TRUE,169755498
15513,Bastille,Joy,Doom Days,album,0.555,0.923,6,-4.748,0.161,0.197,0.000,0.078,0.363,118.007,192681,BastilleVEVO,6475197,50763,1350,TRUE,134865172
15514,Bastille,Oblivion,Bad Blood,album,0.422,0.321,5,-8.952,0.029,0.760,0.000,0.429,0.280,78.533,196347,BastilleVEVO,21733315,223955,6775,TRUE,171301828
15515,Bastille,Send Them Off!,Wild World (Complete Edition),album,0.614,0.807,10,-3.405,0.053,0.130,0.000,0.255,0.427,99.989,200987,BastilleVEVO,9972815,111655,4194,TRUE,67955956
15516,Bastille,Icarus,All This Bad Blood,album,0.583,0.778,4,-6.578,0.046,0.071,0.000,0.075,0.673,134.945,225040,CRAFT Productions,53560,677,38,FALSE,68944311
15517,Bastille,Things We Lost In The Fire,All This Bad Blood,album,0.587,0.918,4,-4.878,0.058,0.064,0.000,0.267,0.629,134.055,240747,BastilleVEVO,71554780,507986,14255,TRUE,155017085
15518,C. Tangana,Demasiadas Mujeres,El Madrileño,album,0.658,0.453,9,-7.378,0.390,0.131,0.000,0.085,0.358,126.043,153960,CTanganaVEVO,83257835,922343,12179,TRUE,294518051
